num_cities,optimal_cost,optimal_solve_time,num_clusters,clustering_time,high_level_cluster_solution_time,cluster_solve_time,cluster_total_time,cluster_optimal_cost,cluser_optimality,speedup
280,2688.0,3.191623,15,0.042395,0.108452,2.815548,2.857945,3027.0,0.888007928642,1.11675452117
280,2688.0,3.318546,16,0.046981,0.068278,2.837443,2.884425,3023.0,0.889182930863,1.15050521334
280,2688.0,3.171577,17,0.0489,0.080681,3.212507,3.261409,3077.0,0.873578160546,0.972456076499
280,2688.0,3.1676,18,0.048851,0.095608,3.539551,3.588405,3037.0,0.885083964439,0.882732021608
280,2688.0,3.165614,19,0.046645,0.109264,4.011796,4.058442,3126.0,0.859884836852,0.780007204735
280,2688.0,3.210987,20,0.046998,0.090596,4.194122,4.241122,3127.0,0.859609849696,0.757107906823
493,36400.0,8.151616,2,0.012293,0.00154600000002,4.097663,4.109958,36666.0,0.992745322642,1.98338182531
493,36400.0,8.148353,3,0.024215,0.00162499999999,4.950865,4.975081,36703.0,0.991744544043,1.63783323327
493,36400.0,8.039426,4,0.027168,0.00325700000002,4.115744,4.142914,37623.0,0.96749328868,1.94052447142
493,36400.0,8.188403,5,0.038627,0.00458499999999,4.020888,4.059518,38201.0,0.952854637313,2.01708749659
493,36400.0,8.14433,6,0.032157,0.011184,2.91571,2.947869,37532.0,0.96983907066,2.7627855919
493,36400.0,8.128745,7,0.041857,0.011657,3.430483,3.472342,37689.0,0.965799039508,2.34099780494
493,36400.0,8.086755,8,0.046486,0.015598,3.584632,3.631119,38302.0,0.950342018694,2.22706967191
493,36400.0,8.54272,9,0.054033,0.011122,4.312312,4.366347,38031.0,0.95711393337,1.95649131872
493,36400.0,8.142776,10,0.054875,0.015394,4.749671,4.804548,38351.0,0.949127793278,1.69480583814
493,36400.0,8.197683,11,0.055488,0.017873,5.366518,5.422009,38661.0,0.941517291327,1.51192722107
493,36400.0,8.097855,12,0.053208,0.01982,6.038165,6.091376,38543.0,0.944399761306,1.32939667491
493,36400.0,8.106804,13,0.068066,0.026796,6.532634,6.600702,38805.0,0.938023450586,1.22817300342
493,36400.0,8.039738,14,0.063052,0.033748,7.301058,7.364111,39029.0,0.93263983192,1.09174590117
493,36400.0,8.314416,15,0.07388,0.053318,8.183378,8.25726,39248.0,0.927435792907,1.00692190872
493,36400.0,8.311559,16,0.062638,0.052608,9.027082,9.089729,38903.0,0.935660488908,0.91439018699
493,36400.0,8.947376,17,0.069024,0.060752,10.770264,10.839293,39350.0,0.925031766201,0.825457527534
493,36400.0,8.452332,18,0.078658,0.056493,12.724865,12.803526,39368.0,0.924608819346,0.660156584991
493,36400.0,10.237245,19,0.080565,0.068787,13.876206,13.956774,39230.0,0.927861330614,0.733496508577
493,36400.0,10.521147,20,0.075729,0.10125,14.214473,14.290204,40433.0,0.900254742413,0.736248901695
575,6814.0,14.712419,2,0.01748,0.000908999999979,6.72867,6.746152,6824.0,0.998534583822,2.18086088188
575,6814.0,14.917337,3,0.037301,0.00281000000001,5.940187,5.97749,7122.0,0.956753720865,2.49558543804
575,6814.0,14.454448,4,0.036669,0.00290199999995,3.792755,3.829426,6993.0,0.974402974403,3.77457300389
575,6814.0,13.894713,5,0.038116,0.016673,3.61591,3.654029,7159.0,0.951808911859,3.80257326912
575,6814.0,18.714929,6,0.0724319999999,0.011648,4.445101,4.517536,7150.0,0.953006993007,4.14272935512
575,6814.0,17.158271,7,0.0664079999999,0.014768,5.451073,5.517483,7126.0,0.956216671344,3.10980042893
575,6814.0,15.536506,8,0.0500490000001,0.015847,5.431657,5.481708,7165.0,0.951011863224,2.8342454578
575,6814.0,15.387683,9,0.063042,0.02765,5.929706,5.99275,7277.0,0.936374879758,2.56771649076
575,6814.0,15.550369,10,0.054393,0.033599,6.071229,6.125624,7218.0,0.944028816847,2.53857713108
575,6814.0,15.521422,11,0.066343,0.03264,7.231162,7.297506,7221.0,0.943636615427,2.12694885074
575,6814.0,14.900594,12,0.110171,0.041155,8.519486,8.629659,7291.0,0.9345768756,1.72667239806
575,6814.0,14.973089,13,0.068392,0.077952,11.76422,11.832618,7256.0,0.939084895259,1.26540795959
575,6814.0,18.221656,14,0.077389,0.057599,10.538066,10.615456,7237.0,0.941550366174,1.71652126861
575,6814.0,14.797608,15,0.073177,0.0713009999999,11.938379,12.011559,7397.0,0.921184263891,1.23194732674
575,6814.0,15.578042,16,0.082321,0.062314,13.46572,13.548044,7378.0,0.923556519382,1.14983698016
575,6814.0,14.625609,17,0.0765710000001,0.118093,16.290685,16.367258,7351.0,0.926948714461,0.893589445465
575,6814.0,13.765403,18,0.0908039999999,0.140479,17.988738,18.079545,7378.0,0.923556519382,0.761379946232
575,6814.0,13.47429,19,0.081779,0.10401,16.739143,16.820924,7356.0,0.926318651441,0.801043390958
575,6814.0,13.538054,20,0.090366,0.12942,17.8119,17.902268,7484.0,0.910475681454,0.756220049884
657,50466.0,16.165141,2,0.023607,0.00119900000004,9.280463,9.304077,50846.0,0.992526452425,1.73742553936
657,50466.0,15.98499,3,0.0334769999999,0.0013550000001,6.836255,6.869734,51620.0,0.977644323905,2.3268717537
657,50466.0,15.503535,4,0.039355,0.00419099999999,4.862607,4.901964,51900.0,0.972369942197,3.16271906526
657,50466.0,15.493232,5,0.043045,0.00737300000003,4.91676,4.959807,52349.0,0.964029876406,3.12375703329
657,50466.0,15.737611,6,0.0458229999999,0.010013,4.687808,4.733632,53069.0,0.950950649155,3.32463761442
657,50466.0,15.762946,7,0.0468609999998,0.0134529999998,5.680929,5.727793,52861.0,0.954692495412,2.75201041658
657,50466.0,15.672078,8,0.0643230000001,0.0145219999999,6.056452,6.120777,53058.0,0.95114780052,2.56047197929
657,50466.0,16.254153,9,0.0675670000001,0.04448,7.440589,7.508158,53323.0,0.946420869043,2.16486560352
657,50466.0,23.582846,10,0.067335,0.0301889999998,9.685681,9.75302,53151.0,0.949483546876,2.41800447451
657,50466.0,18.176579,11,0.133424,0.0631059999998,13.230489,13.363916,53487.0,0.943518985922,1.36012370925
657,50466.0,23.160134,12,0.0745149999998,0.053893,13.319977,13.394495,53745.0,0.938989673458,1.72907855055
657,50466.0,20.471354,13,0.092742,0.0562299999999,13.293643,13.386387,53129.0,0.949876715165,1.52926656013
657,50466.0,20.263047,14,0.077779,0.075693,15.206172,15.283952,54392.0,0.927820267686,1.32577274516
657,50466.0,19.083247,15,0.0782489999999,0.0676110000002,15.797338,15.87559,54454.0,0.926763874096,1.20204962461
657,50466.0,16.515168,16,0.0760600000001,0.083142,16.894267,16.970328,54651.0,0.923423176154,0.973179068784
657,50466.0,16.500364,17,0.091723,0.0543220000002,18.217371,18.309096,54667.0,0.923152907604,0.90121128864
657,50466.0,16.33565,18,0.0918360000001,0.0852459999999,19.905989,19.997827,54913.0,0.919017354725,0.816871253062
657,50466.0,16.084772,19,0.090342,0.099211,22.418489,22.508833,54935.0,0.918649312824,0.714598220174
657,50466.0,16.192486,20,0.0871140000002,0.0910349999999,26.399105,26.48622,55367.0,0.911481568443,0.611355112206
724,43427.0,24.237593,2,0.0182719999998,0.00113900000019,9.349609,9.367884,44239.0,0.981645154728,2.58730712293
724,43427.0,21.951182,3,0.0291769999999,0.00148599999989,5.607779,5.636963,45539.0,0.953622170008,3.89415044945
724,43427.0,21.959425,4,0.0277350000001,0.00471500000003,5.775348,5.803084,44653.0,0.97254383804,3.78409566362
724,43427.0,21.738385,5,0.038176,0.00841700000001,6.634467,6.672646,44937.0,0.966397400806,3.25783579707
724,43427.0,21.888826,6,0.0463870000001,0.0124029999999,6.399564,6.445952,44241.0,0.981600777559,3.39574759477
724,43427.0,26.710942,7,0.0580689999999,0.0165500000001,6.446486,6.504557,44318.0,0.979895302135,4.10649672222
724,43427.0,19.975706,8,0.062048,0.018188,7.480988,7.543038,45658.0,0.951136712077,2.64823085871
724,43427.0,19.414231,9,0.062183,0.0209070000001,8.113165,8.175351,45307.0,0.958505308231,2.37472751934
724,43427.0,19.460496,10,0.0666190000002,0.0324009999999,9.24858,9.315201,45600.0,0.952346491228,2.08911176474
724,43427.0,19.385071,11,0.0720039999999,0.035975,10.224733,10.296739,46567.0,0.932570275088,1.8826417762
724,43427.0,19.448981,12,0.0804949999999,0.041704,12.065522,12.146019,46699.0,0.929934259834,1.60126383797
724,43427.0,21.731296,13,0.069033,0.0458490000001,13.0727,13.141735,46290.0,0.938150788507,1.6536093598
724,43427.0,20.275998,14,0.0768870000002,0.064615,15.567831,15.644721,46921.0,0.9255344089,1.29602809791
724,43427.0,19.55042,15,0.09394,0.0621100000001,16.8829,16.976842,46625.0,0.931410187668,1.15159344712
724,43427.0,26.523708,16,0.088501,0.0858430000001,21.097074,21.185576,46679.0,0.930332697787,1.25197011401
724,43427.0,19.412569,17,0.0744069999998,0.084891,20.567247,20.641655,46975.0,0.924470463012,0.94045603417
724,43427.0,21.048085,18,0.125835,0.0772480000001,24.06089,24.186728,46749.0,0.928939656463,0.870232840093
724,43427.0,18.995278,19,0.0852620000001,0.127892,24.50689,24.592154,46318.0,0.93758366078,0.772412127868
724,43427.0,19.071659,20,0.080899,0.110613,27.218714,27.299616,47510.0,0.914060197853,0.698605394303
